PID,Brand,Name,Category,Subcategory,Price,min_stock,current_stock
CLTH0,Clarks,T-shirts,Clothes,Kids,8664,10,25
CLTH1,Dimplex,Sweatshirts,Clothes,Men,5060,10,21
CLTH2,Dinotrux,Jackets,Clothes,Women,7630,10,17
CLTH3,Zara,Trousers,Clothes,Women,7205,10,23
CLTH4,Christy,Trousers,Clothes,Women,1189,10,27
CLTH5,Gucci,Shorts,Clothes,Kids,4842,10,35
CLTH6,UCB,Track-Pants,Clothes,Women,1932,10,38
CLTH7,Levis,Shirts,Clothes,Kids,1291,10,28
CLTH8,crocodile,Trousers,Clothes,Men,6686,10,29
CLTH9,Chloe,Shorts,Clothes,Women,3545,10,29
CLTH10,Disney,Sweatshirts,Clothes,Kids,4038,10,25
CLTH11,crocodile,Shorts,Clothes,Kids,6374,10,24
CLTH12,Circulon,Jeans,Clothes,Women,2298,10,17
CLTH13,Levis,T-shirts,Clothes,Women,5290,10,26
CLTH14,U.s.polo,Shorts,Clothes,Men,3482,10,21
CLTH15,Circulon,Shirts,Clothes,Women,7924,10,31
CLTH16,U.s.polo,Shirts,Clothes,Men,6490,10,31
CLTH17,Circulon,T-shirts,Clothes,Kids,1287,10,17
CLTH18,Coach,Track-Pants,Clothes,Women,2080,10,21
CLTH19,Gucci,Jackets,Clothes,Kids,1780,10,30
CLTH20,Zara,T-shirts,Clothes,Men,6105,10,17
CLTH21,Disney,Jackets,Clothes,Men,2516,10,19
CLTH22,Dimplex,Jackets,Clothes,Women,4134,10,17
CLTH23,Basics,Jackets,Clothes,Men,1738,10,38
CLTH24,Christy,Trousers,Clothes,Men,8366,10,30
CLTH25,Coach,Trousers,Clothes,Kids,7967,10,25
CLTH26,Dibor,Sweatshirts,Clothes,Men,1765,10,29
CLTH27,Basics,Shorts,Clothes,Women,1051,10,21
CLTH28,Clarks,Trousers,Clothes,Women,6732,10,16
CLTH29,Christy,Track-Pants,Clothes,Women,3442,10,32
CLTH30,U.s.polo,Trousers,Clothes,Kids,6128,10,30
CLTH31,Citizen,T-shirts,Clothes,Women,2342,10,30
CLTH32,Levis,Formal-Pants,Clothes,Kids,4767,10,26
CLTH33,crocodile,T-shirts,Clothes,Women,2788,10,26
CLTH34,Gucci,Shorts,Clothes,Women,7284,10,38
CLTH35,Wrogn,Trousers,Clothes,Men,7433,10,40
CLTH36,Arrow,Jackets,Clothes,Men,5365,10,17
CLTH37,Chloe,Shirts,Clothes,Women,5868,10,39
CLTH38,Wrogn,Sweatshirts,Clothes,Kids,4538,10,25
CLTH39,UCB,Formal-Pants,Clothes,Men,2562,10,29
CLTH40,Levis,Jeans,Clothes,Men,4383,10,33
CLTH41,Basics,T-shirts,Clothes,Kids,5509,10,19
CLTH42,Gucci,Sweatshirts,Clothes,Men,3454,10,18
CLTH43,Basics,Jeans,Clothes,Kids,8419,10,20
CLTH44,Christy,Formal-Pants,Clothes,Women,4548,10,38
CLTH45,Diadora,Track-Pants,Clothes,Women,7278,10,26
CLTH46,Levis,Formal-Pants,Clothes,Women,6982,10,36
CLTH47,Citizen,T-shirts,Clothes,Kids,2241,10,15
CLTH48,Zara,Sweatshirts,Clothes,Kids,1266,10,29
CLTH49,Coach,T-shirts,Clothes,Kids,6375,10,18
CLTH50,Cluse,Sweatshirts,Clothes,Women,1296,10,16
CLTH51,Coach,Shorts,Clothes,Kids,3169,10,27
CLTH52,Dinotrux,T-shirts,Clothes,Men,1614,10,23
CLTH53,Cluse,Formal-Pants,Clothes,Women,3591,10,17
CLTH54,Coach,Formal-Pants,Clothes,Kids,1180,10,32
CLTH55,Wrogn,Shorts,Clothes,Kids,7458,10,34
CLTH56,crocodile,Shirts,Clothes,Men,6373,10,31
CLTH57,Zara,Jackets,Clothes,Women,3484,10,19
CLTH58,UCB,Jackets,Clothes,Women,8471,10,34
CLTH59,Clarks,Shirts,Clothes,Men,3689,10,20
CLTH60,Diesel,Shorts,Clothes,Men,6345,10,23
CLTH61,Dimplex,Shirts,Clothes,Kids,1865,10,19
CLTH62,U.s.polo,Shorts,Clothes,Men,8656,10,15
CLTH63,Zara,Shirts,Clothes,Women,3168,10,28
CLTH64,Gucci,Track-Pants,Clothes,Kids,3580,10,31
CLTH65,Closet,Shirts,Clothes,Kids,5736,10,17
CLTH66,Closet,Trousers,Clothes,Women,7510,10,28
CLTH67,Cluse,Shirts,Clothes,Kids,6256,10,20
CLTH68,U.s.polo,Shorts,Clothes,Kids,5715,10,28
CLTH69,Gucci,Formal-Pants,Clothes,Women,2281,10,17
CLTH70,Circulon,Shirts,Clothes,Kids,3175,10,23
CLTH71,U.s.polo,Jeans,Clothes,Kids,5109,10,24
CLTH72,Coach,Shorts,Clothes,Women,5148,10,22
CLTH73,U.s.polo,Track-Pants,Clothes,Kids,8485,10,24
CLTH74,Gucci,Track-Pants,Clothes,Women,5257,10,29
CLTH75,Levis,Trousers,Clothes,Kids,2291,10,27
CLTH76,Closet,Sweatshirts,Clothes,Men,7159,10,18
CLTH77,Dinotrux,Shorts,Clothes,Women,4344,10,18
CLTH78,Chloe,Sweaters,Clothes,Women,5834,10,19
CLTH79,Roadster,T-shirts,Clothes,Women,3932,10,15
CLTH80,Diesel,T-shirts,Clothes,Women,5155,10,18
CLTH81,Diesel,Sweaters,Clothes,Men,8046,10,38
CLTH82,Basics,Jackets,Clothes,Kids,6353,10,32
CLTH83,Coach,Sweatshirts,Clothes,Women,3779,10,24
CLTH84,Dimplex,Jeans,Clothes,Men,2546,10,32
CLTH85,Disney,Jeans,Clothes,Women,6913,10,25
CLTH86,Wrogn,T-shirts,Clothes,Kids,3290,10,29
CLTH87,Clarks,T-shirts,Clothes,Women,8336,10,37
CLTH88,Basics,Shirts,Clothes,Women,3750,10,25
CLTH89,Christy,Sweatshirts,Clothes,Women,3554,10,40
CLTH90,Citizen,Sweatshirts,Clothes,Women,8548,10,38
CLTH91,Closet,Shirts,Clothes,Men,3046,10,16
CLTH92,Gucci,Jackets,Clothes,Women,6355,10,20
CLTH93,crocodile,Shirts,Clothes,Women,7198,10,25
CLTH94,Dibor,Sweaters,Clothes,Men,4560,10,32
CLTH95,Dinotrux,Jackets,Clothes,Women,1066,10,38
CLTH96,Closet,Formal-Pants,Clothes,Men,2125,10,37
CLTH97,Chloe,Jeans,Clothes,Men,6395,10,18
CLTH98,Arrow,T-shirts,Clothes,Kids,6568,10,31
CLTH99,Roadster,Shorts,Clothes,Women,7909,10,22
CLTH100,Circulon,Trousers,Clothes,Kids,7501,10,35
CLTH101,Gucci,Sweaters,Clothes,Kids,3713,10,28
CLTH102,Levis,Track-Pants,Clothes,Men,4373,10,26
CLTH103,U.s.polo,Shorts,Clothes,Kids,1303,10,26
CLTH104,Diesel,Jackets,Clothes,Kids,1682,10,39
CLTH105,Chloe,Jeans,Clothes,Kids,6363,10,32
CLTH106,Gucci,Shirts,Clothes,Women,8468,10,22
CLTH107,Zara,Formal-Pants,Clothes,Men,7608,10,18
CLTH108,Diesel,Track-Pants,Clothes,Kids,7749,10,32
CLTH109,Clarks,Track-Pants,Clothes,Women,7439,10,35
CLTH110,Clarks,Sweatshirts,Clothes,Men,4600,10,15
CLTH111,Citizen,Formal-Pants,Clothes,Women,6633,10,38
CLTH112,Circulon,Shirts,Clothes,Kids,8270,10,22
CLTH113,Circulon,Trousers,Clothes,Women,4360,10,37
CLTH114,Levis,Jeans,Clothes,Women,3245,10,25
CLTH115,Diesel,Sweaters,Clothes,Men,7279,10,16
CLTH116,U.s.polo,T-shirts,Clothes,Men,6924,10,15
CLTH117,Closet,Trousers,Clothes,Kids,3556,10,22
CLTH118,Clarks,Trousers,Clothes,Kids,4278,10,33
CLTH119,Chloe,Jeans,Clothes,Men,2678,10,40
CLTH120,Christy,Track-Pants,Clothes,Men,6842,10,35
CLTH121,crocodile,Jackets,Clothes,Men,8089,10,32
CLTH122,Diadora,Jackets,Clothes,Women,6369,10,30
CLTH123,Closet,Trousers,Clothes,Kids,4359,10,39
CLTH124,Diadora,Shorts,Clothes,Kids,5455,10,17
CLTH125,Citizen,T-shirts,Clothes,Men,4663,10,32
CLTH126,Chloe,Sweaters,Clothes,Women,5183,10,38
CLTH127,Dinotrux,Shorts,Clothes,Kids,7107,10,25
CLTH128,Arrow,Sweaters,Clothes,Kids,3050,10,32
CLTH129,U.s.polo,Track-Pants,Clothes,Kids,5206,10,25
CLTH130,crocodile,Sweatshirts,Clothes,Kids,3243,10,28
CLTH131,Zara,Sweaters,Clothes,Women,5698,10,31
CLTH132,UCB,Shorts,Clothes,Women,4123,10,19
CLTH133,UCB,Sweaters,Clothes,Kids,7813,10,18
CLTH134,Arrow,Shirts,Clothes,Kids,1444,10,18
CLTH135,Chloe,Shorts,Clothes,Kids,6400,10,25
CLTH136,crocodile,Trousers,Clothes,Women,3902,10,23
CLTH137,Circulon,Sweaters,Clothes,Women,7354,10,20
CLTH138,Chloe,Jackets,Clothes,Kids,3057,10,30
CLTH139,Dinotrux,Sweatshirts,Clothes,Men,6753,10,20
CLTH140,Christy,Jackets,Clothes,Women,7425,10,17
CLTH141,Chloe,Sweatshirts,Clothes,Kids,1826,10,24
CLTH142,Gucci,Jackets,Clothes,Women,5444,10,32
CLTH143,Clarks,Shorts,Clothes,Women,4876,10,19
CLTH144,Christy,Shirts,Clothes,Kids,4160,10,32
CLTH145,Zara,Formal-Pants,Clothes,Women,2059,10,29
CLTH146,Levis,Track-Pants,Clothes,Women,2831,10,21
CLTH147,Dimplex,Jackets,Clothes,Men,4419,10,21
CLTH148,Diesel,Trousers,Clothes,Women,7772,10,35
CLTH149,Closet,Track-Pants,Clothes,Men,2716,10,40
CLTH150,crocodile,Jackets,Clothes,Women,5007,10,37
CLTH151,Disney,Shirts,Clothes,Men,6430,10,33
CLTH152,Dibor,T-shirts,Clothes,Women,1507,10,21
CLTH153,Closet,Jackets,Clothes,Kids,2289,10,30
CLTH154,U.s.polo,Shorts,Clothes,Kids,1574,10,36
CLTH155,Coach,Sweaters,Clothes,Women,1785,10,30
CLTH156,Chloe,Trousers,Clothes,Women,3490,10,16
CLTH157,Dimplex,Jackets,Clothes,Men,7346,10,23
CLTH158,UCB,Trousers,Clothes,Women,6041,10,28
CLTH159,Christy,Sweaters,Clothes,Men,6027,10,34
CLTH160,Dimplex,Jeans,Clothes,Men,8466,10,20
CLTH161,Chloe,Jackets,Clothes,Men,7753,10,38
CLTH162,Christy,Sweatshirts,Clothes,Men,5964,10,20
CLTH163,U.s.polo,Track-Pants,Clothes,Women,8505,10,28
CLTH164,Dinotrux,Sweaters,Clothes,Kids,5667,10,18
CLTH165,Wrogn,Sweaters,Clothes,Women,4245,10,15
CLTH166,Circulon,Shorts,Clothes,Men,6985,10,34
CLTH167,Cluse,Formal-Pants,Clothes,Kids,1851,10,26
CLTH168,Roadster,Track-Pants,Clothes,Women,7121,10,26
CLTH169,Dibor,Jackets,Clothes,Women,8098,10,37
CLTH170,Closet,Shorts,Clothes,Kids,5246,10,34
CLTH171,Gucci,Formal-Pants,Clothes,Kids,7403,10,20
CLTH172,Dimplex,Sweaters,Clothes,Women,2643,10,32
CLTH173,Roadster,Jeans,Clothes,Women,1917,10,34
CLTH174,Diesel,Sweatshirts,Clothes,Women,3267,10,38
CLTH175,Wrogn,Trousers,Clothes,Men,3601,10,16
CLTH176,Dimplex,Trousers,Clothes,Kids,5453,10,32
CLTH177,Zara,Track-Pants,Clothes,Women,7603,10,31
CLTH178,Chloe,T-shirts,Clothes,Women,6241,10,36
CLTH179,Diesel,Trousers,Clothes,Women,5630,10,23
CLTH180,Circulon,T-shirts,Clothes,Men,2809,10,24
CLTH181,Coach,Trousers,Clothes,Women,6979,10,30
CLTH182,Christy,Jackets,Clothes,Women,6160,10,31
CLTH183,Basics,Jeans,Clothes,Women,4081,10,25
CLTH184,Closet,Trousers,Clothes,Men,8809,10,26
CLTH185,Diesel,Jeans,Clothes,Men,7025,10,35
CLTH186,Clarks,Jeans,Clothes,Women,1516,10,21
CLTH187,Citizen,Jeans,Clothes,Kids,7672,10,34
CLTH188,Zara,T-shirts,Clothes,Men,6746,10,32
CLTH189,Basics,T-shirts,Clothes,Men,1553,10,30
CLTH190,Diadora,Sweatshirts,Clothes,Women,5489,10,27
CLTH191,Arrow,Sweatshirts,Clothes,Kids,4606,10,28
CLTH192,Wrogn,Jackets,Clothes,Men,3471,10,23
CLTH193,Clarks,Formal-Pants,Clothes,Women,3985,10,27
CLTH194,Dibor,Sweaters,Clothes,Kids,1753,10,26
CLTH195,Gucci,Sweatshirts,Clothes,Kids,5394,10,30
CLTH196,Coach,Jeans,Clothes,Women,7503,10,15
CLTH197,Basics,Sweatshirts,Clothes,Men,7894,10,29
CLTH198,Roadster,Jeans,Clothes,Men,4394,10,28
CLTH199,crocodile,Sweatshirts,Clothes,Men,5618,10,21
CLTH200,Diadora,Track-Pants,Clothes,Men,4368,10,18
CLTH201,U.s.polo,Sweaters,Clothes,Women,1516,10,27
CLTH202,Chloe,Jackets,Clothes,Men,6566,10,18
CLTH203,Diadora,Shorts,Clothes,Men,6727,10,25
CLTH204,Closet,Formal-Pants,Clothes,Kids,2812,10,29
CLTH205,Levis,Formal-Pants,Clothes,Men,4670,10,20
CLTH206,Dibor,T-shirts,Clothes,Men,8681,10,27
CLTH207,crocodile,Shorts,Clothes,Kids,1250,10,36
CLTH208,Wrogn,Track-Pants,Clothes,Men,2812,10,24
CLTH209,Cluse,Track-Pants,Clothes,Men,2503,10,22
CLTH210,UCB,Track-Pants,Clothes,Men,3701,10,22
CLTH211,Roadster,Sweaters,Clothes,Men,8027,10,29
CLTH212,Clarks,Formal-Pants,Clothes,Men,3014,10,15
CLTH213,Zara,Trousers,Clothes,Kids,4389,10,36
CLTH214,Closet,Track-Pants,Clothes,Women,5353,10,37
CLTH215,Basics,Jeans,Clothes,Women,8357,10,28
CLTH216,Clarks,Jackets,Clothes,Kids,3473,10,38
CLTH217,U.s.polo,Track-Pants,Clothes,Men,8285,10,26
CLTH218,Dinotrux,T-shirts,Clothes,Men,5453,10,19
CLTH219,Chloe,Track-Pants,Clothes,Women,1410,10,26
CLTH220,Clarks,Jeans,Clothes,Women,7053,10,30
CLTH221,Chloe,Shorts,Clothes,Kids,4805,10,16
CLTH222,Dimplex,Formal-Pants,Clothes,Kids,6483,10,32
CLTH223,Citizen,Shirts,Clothes,Women,2473,10,20
CLTH224,Citizen,Sweaters,Clothes,Women,3465,10,40
CLTH225,Chloe,Shorts,Clothes,Men,6063,10,39
CLTH226,Diesel,T-shirts,Clothes,Men,4335,10,35
CLTH227,Dibor,Sweaters,Clothes,Kids,4486,10,24
CLTH228,Citizen,Formal-Pants,Clothes,Men,2135,10,33
CLTH229,Gucci,T-shirts,Clothes,Women,5702,10,20
CLTH230,Coach,Trousers,Clothes,Women,1020,10,27
CLTH231,Cluse,Shorts,Clothes,Women,2637,10,24
CLTH232,Diadora,Jeans,Clothes,Kids,4232,10,15
CLTH233,Coach,Formal-Pants,Clothes,Kids,8261,10,29
CLTH234,Arrow,Sweaters,Clothes,Kids,7907,10,24
CLTH235,Gucci,Shorts,Clothes,Women,4964,10,38
CLTH236,UCB,Sweatshirts,Clothes,Women,4398,10,31
CLTH237,Citizen,Track-Pants,Clothes,Kids,8836,10,18
CLTH238,Wrogn,Shirts,Clothes,Women,5215,10,15
CLTH239,Dibor,Formal-Pants,Clothes,Women,7968,10,37
CLTH240,Roadster,Jackets,Clothes,Kids,3278,10,19
CLTH241,U.s.polo,T-shirts,Clothes,Women,4678,10,19
CLTH242,Circulon,T-shirts,Clothes,Men,5956,10,25
CLTH243,Basics,Trousers,Clothes,Kids,8398,10,31
CLTH244,Christy,Formal-Pants,Clothes,Kids,1182,10,21
CLTH245,Dinotrux,Shorts,Clothes,Women,3056,10,25
CLTH246,Gucci,T-shirts,Clothes,Men,7941,10,34
CLTH247,UCB,Track-Pants,Clothes,Women,3900,10,36
CLTH248,Dimplex,Sweaters,Clothes,Women,2288,10,17
CLTH249,Dimplex,Formal-Pants,Clothes,Kids,8041,10,37
CLTH250,UCB,Track-Pants,Clothes,Women,1320,10,35
