PID,Brand,Name,Category,Subcategory,Price,min_stock,current_stock
FTWR0,Invicta,Floaters,Footwear,Men,5432,10,16
FTWR1,Airness,Flip-Flops,Footwear,Women,4810,10,16
FTWR2,Adidas,Floaters,Footwear,Men,2844,10,15
FTWR3,Ariat,Flip-Flops,Footwear,Men,4564,10,17
FTWR4,Circa,sports-shoes,Footwear,Kids,1119,10,13
FTWR5,Chaco,Floaters,Footwear,Men,3558,10,13
FTWR6,Churchs,Flip-Flops,Footwear,Women,5518,10,18
FTWR7,Atletica,Sandals,Footwear,Women,5475,10,18
FTWR8,ChenOne,Formal-shoes,Footwear,Women,3816,10,19
FTWR9,Skechers,Formal-shoes,Footwear,Men,1297,10,12
FTWR10,Churchs,casual-shoes,Footwear,Women,2304,10,15
FTWR11,ChenOne,casual-shoes,Footwear,Women,4235,10,14
FTWR12,Airness,casual-shoes,Footwear,Men,5401,10,17
FTWR13,Churchs,Floaters,Footwear,Women,4998,10,11
FTWR14,Ariat,Floaters,Footwear,Men,1621,10,16
FTWR15,Ariat,Floaters,Footwear,Kids,4908,10,16
FTWR16,Skechers,Formal-shoes,Footwear,Men,4489,10,18
FTWR17,Invicta,sports-shoes,Footwear,Women,5236,10,12
FTWR18,Invicta,Socks,Footwear,Women,5195,10,12
FTWR19,Atletica,boots,Footwear,Kids,2149,10,20
FTWR20,Circa,boots,Footwear,Kids,6906,10,19
FTWR21,Adidas,sports-shoes,Footwear,Kids,4128,10,13
FTWR22,Churchs,Sandals,Footwear,Kids,1647,10,20
FTWR23,Insolia,boots,Footwear,Kids,4638,10,17
FTWR24,Insolia,Flip-Flops,Footwear,Men,3566,10,14
FTWR25,Chaco,Sandals,Footwear,Women,1036,10,15
FTWR26,Churchs,Flip-Flops,Footwear,Kids,2089,10,11
FTWR27,Chaco,boots,Footwear,Women,2667,10,16
FTWR28,Airness,casual-shoes,Footwear,Men,4652,10,20
FTWR29,Chaco,Flip-Flops,Footwear,Kids,5459,10,19
FTWR30,Churchs,Floaters,Footwear,Kids,1283,10,15
FTWR31,Crocs,sports-shoes,Footwear,Women,5341,10,15
FTWR32,Crocs,Sandals,Footwear,Women,5689,10,15
FTWR33,Chaco,Formal-shoes,Footwear,Women,5409,10,14
FTWR34,Adidas,Formal-shoes,Footwear,Women,4030,10,19
FTWR35,ChenOne,Flip-Flops,Footwear,Kids,6325,10,11
FTWR36,Airness,Socks,Footwear,Kids,3131,10,20
FTWR37,Chaco,casual-shoes,Footwear,Men,2725,10,17
FTWR38,ASICS,Formal-shoes,Footwear,Women,5149,10,13
FTWR39,Ariat,casual-shoes,Footwear,Women,1207,10,14
FTWR40,ASICS,boots,Footwear,Kids,1990,10,14
FTWR41,ChenOne,sports-shoes,Footwear,Kids,3930,10,20
FTWR42,Adidas,casual-shoes,Footwear,Women,3040,10,15
FTWR43,Circa,Flip-Flops,Footwear,Kids,4648,10,12
FTWR44,Chaco,Formal-shoes,Footwear,Women,3453,10,14
FTWR45,ASICS,Formal-shoes,Footwear,Men,1009,10,17
FTWR46,Adidas,Formal-shoes,Footwear,Women,3557,10,15
FTWR47,ASICS,boots,Footwear,Women,4766,10,16
FTWR48,Chaco,casual-shoes,Footwear,Women,6934,10,17
FTWR49,ASICS,Floaters,Footwear,Kids,2344,10,20
FTWR50,Circa,boots,Footwear,Men,5516,10,12
FTWR51,Chaco,Floaters,Footwear,Kids,6709,10,11
FTWR52,Circa,casual-shoes,Footwear,Women,6019,10,19
FTWR53,Adidas,sports-shoes,Footwear,Men,2153,10,16
FTWR54,Skechers,Sandals,Footwear,Women,3206,10,16
FTWR55,Adidas,Sandals,Footwear,Women,6813,10,13
FTWR56,Ariat,Formal-shoes,Footwear,Men,6461,10,20
FTWR57,Crocs,Formal-shoes,Footwear,Men,4066,10,14
FTWR58,ChenOne,Socks,Footwear,Women,3184,10,15
FTWR59,Circa,casual-shoes,Footwear,Men,5763,10,20
FTWR60,Crocs,Socks,Footwear,Kids,3569,10,20
FTWR61,Skechers,Sandals,Footwear,Women,3031,10,16
FTWR62,ASICS,casual-shoes,Footwear,Kids,4473,10,13
FTWR63,Adidas,Floaters,Footwear,Kids,2914,10,12
FTWR64,Ariat,casual-shoes,Footwear,Kids,2214,10,15
FTWR65,Atletica,sports-shoes,Footwear,Men,4144,10,15
FTWR66,ASICS,Socks,Footwear,Kids,1290,10,19
FTWR67,Circa,boots,Footwear,Women,3947,10,12
FTWR68,Skechers,Formal-shoes,Footwear,Kids,3191,10,13
FTWR69,Invicta,Floaters,Footwear,Women,2365,10,19
FTWR70,ASICS,boots,Footwear,Kids,5933,10,20
FTWR71,Xtep,Formal-shoes,Footwear,Kids,4465,10,19
FTWR72,Xtep,boots,Footwear,Kids,4135,10,18
FTWR73,Invicta,Floaters,Footwear,Men,6581,10,18
FTWR74,ASICS,Formal-shoes,Footwear,Women,4003,10,13
FTWR75,ChenOne,casual-shoes,Footwear,Women,4136,10,19
FTWR76,Airness,Formal-shoes,Footwear,Men,3835,10,11
FTWR77,Ariat,sports-shoes,Footwear,Kids,4717,10,19
FTWR78,Ariat,Formal-shoes,Footwear,Men,3473,10,13
FTWR79,Adidas,casual-shoes,Footwear,Men,6335,10,17
FTWR80,Xtep,Sandals,Footwear,Men,5812,10,14
FTWR81,Circa,sports-shoes,Footwear,Women,4692,10,16
FTWR82,Chaco,Sandals,Footwear,Women,4226,10,13
FTWR83,Chaco,Flip-Flops,Footwear,Men,3184,10,13
FTWR84,Crocs,Socks,Footwear,Men,2380,10,19
FTWR85,Airness,Sandals,Footwear,Men,3891,10,15
FTWR86,Invicta,Socks,Footwear,Women,5381,10,15
FTWR87,Airness,Sandals,Footwear,Women,3683,10,12
FTWR88,Ariat,boots,Footwear,Men,4999,10,19
FTWR89,Crocs,Sandals,Footwear,Kids,5397,10,12
FTWR90,Insolia,sports-shoes,Footwear,Kids,3379,10,15
FTWR91,Adidas,Socks,Footwear,Kids,1814,10,12
FTWR92,Ariat,sports-shoes,Footwear,Women,1822,10,20
FTWR93,ASICS,casual-shoes,Footwear,Kids,2024,10,15
FTWR94,Airness,Sandals,Footwear,Kids,5392,10,16
FTWR95,Ariat,Socks,Footwear,Women,2579,10,11
FTWR96,ASICS,Formal-shoes,Footwear,Men,2887,10,15
FTWR97,Atletica,Flip-Flops,Footwear,Women,1978,10,13
FTWR98,Airness,Floaters,Footwear,Women,3160,10,17
FTWR99,ASICS,Formal-shoes,Footwear,Kids,3979,10,20
FTWR100,Atletica,sports-shoes,Footwear,Men,3445,10,16
FTWR101,Chaco,casual-shoes,Footwear,Women,5756,10,16
FTWR102,Adidas,Socks,Footwear,Kids,2156,10,14
FTWR103,Insolia,sports-shoes,Footwear,Men,6498,10,18
FTWR104,ChenOne,boots,Footwear,Kids,4443,10,15
FTWR105,ASICS,Formal-shoes,Footwear,Kids,1680,10,19
FTWR106,Skechers,Socks,Footwear,Men,1156,10,14
FTWR107,Ariat,sports-shoes,Footwear,Men,2535,10,12
FTWR108,Adidas,Socks,Footwear,Women,6143,10,19
FTWR109,ASICS,casual-shoes,Footwear,Men,2794,10,12
FTWR110,Adidas,Formal-shoes,Footwear,Kids,6344,10,17
FTWR111,ASICS,casual-shoes,Footwear,Men,4480,10,14
FTWR112,Skechers,Flip-Flops,Footwear,Kids,3243,10,20
FTWR113,Airness,Floaters,Footwear,Women,1445,10,14
FTWR114,ASICS,boots,Footwear,Kids,6892,10,17
FTWR115,Adidas,boots,Footwear,Women,2466,10,15
FTWR116,Xtep,Formal-shoes,Footwear,Men,5566,10,15
FTWR117,Insolia,sports-shoes,Footwear,Kids,1751,10,16
FTWR118,Atletica,casual-shoes,Footwear,Kids,1368,10,19
FTWR119,ASICS,Flip-Flops,Footwear,Kids,3564,10,17
FTWR120,ChenOne,Floaters,Footwear,Men,3880,10,18
FTWR121,Chaco,casual-shoes,Footwear,Women,5023,10,11
FTWR122,Crocs,Sandals,Footwear,Men,1019,10,17
FTWR123,Chaco,Sandals,Footwear,Women,5345,10,16
FTWR124,Insolia,casual-shoes,Footwear,Kids,4860,10,11
FTWR125,ChenOne,Formal-shoes,Footwear,Men,3491,10,12
FTWR126,Skechers,Formal-shoes,Footwear,Women,3215,10,14
FTWR127,Skechers,casual-shoes,Footwear,Men,1856,10,13
FTWR128,Atletica,sports-shoes,Footwear,Women,6914,10,20
FTWR129,ASICS,Sandals,Footwear,Men,5177,10,19
FTWR130,Atletica,Formal-shoes,Footwear,Men,5578,10,13
FTWR131,Ariat,casual-shoes,Footwear,Women,1170,10,17
FTWR132,Skechers,Sandals,Footwear,Women,1463,10,20
FTWR133,Invicta,casual-shoes,Footwear,Women,2183,10,17
FTWR134,Chaco,Formal-shoes,Footwear,Women,6832,10,18
FTWR135,Insolia,Floaters,Footwear,Kids,6150,10,13
FTWR136,Skechers,Socks,Footwear,Kids,3614,10,15
FTWR137,Airness,Sandals,Footwear,Men,4510,10,14
FTWR138,Circa,Flip-Flops,Footwear,Kids,2904,10,16
FTWR139,Chaco,Sandals,Footwear,Kids,3539,10,15
FTWR140,Insolia,Sandals,Footwear,Kids,2502,10,16
FTWR141,Xtep,Flip-Flops,Footwear,Men,1165,10,14
FTWR142,Churchs,boots,Footwear,Men,1657,10,20
FTWR143,Chaco,Sandals,Footwear,Kids,4734,10,12
FTWR144,Xtep,Floaters,Footwear,Men,1436,10,13
FTWR145,Xtep,Flip-Flops,Footwear,Men,1867,10,16
FTWR146,Insolia,casual-shoes,Footwear,Kids,3222,10,16
FTWR147,Skechers,boots,Footwear,Kids,3292,10,11
FTWR148,Xtep,Formal-shoes,Footwear,Kids,4529,10,11
FTWR149,Invicta,boots,Footwear,Men,3173,10,12
FTWR150,Chaco,Sandals,Footwear,Women,2994,10,16
FTWR151,Crocs,Sandals,Footwear,Men,2067,10,12
FTWR152,ChenOne,boots,Footwear,Kids,1749,10,16
FTWR153,ASICS,Formal-shoes,Footwear,Women,3704,10,19
FTWR154,Circa,Formal-shoes,Footwear,Men,3568,10,13
FTWR155,Chaco,sports-shoes,Footwear,Men,5901,10,14
FTWR156,ChenOne,boots,Footwear,Men,3834,10,18
FTWR157,Adidas,Formal-shoes,Footwear,Women,6808,10,17
