PID,Brand_x,Name_x,Category_x,Subcategory_x,Price_x,min_stock_x,current_stock_x
SNGL63,DieselDior,Aviator,Sunglasses,Women,5903,5,15
SNGL77,Dragon Alliance,Aviator,Sunglasses,Women,8836,5,13
SNGL80,Dragon Alliance,Aviator,Sunglasses,Women,6414,5,12
SNGL93,Chloe,Aviator,Sunglasses,Women,3833,5,10
SNGL133,Christian Dior,Aviator,Sunglasses,Women,5678,5,10
SNGL137,Celine,Aviator,Sunglasses,Women,1938,5,10
SNGL160,Dolce & Gabbana,Aviator,Sunglasses,Women,3204,5,13
SNGL191,Dolce & Gabbana,Aviator,Sunglasses,Women,2674,5,15
SNGL222,DieselDior,Aviator,Sunglasses,Women,8881,5,14
SNGL267,DieselDior,Aviator,Sunglasses,Women,3130,5,10
SNGL274,Dragon Alliance,Aviator,Sunglasses,Women,9441,5,11
SNGL285,Dunhill,Aviator,Sunglasses,Women,2650,5,12
SNGL286,DieselDior,Aviator,Sunglasses,Women,5766,5,13
SNGL310,DieselDior,Aviator,Sunglasses,Women,4128,5,12
SNGL327,Little Marc Jacobs,Aviator,Sunglasses,Women,7076,5,10
SNGL328,DKNY,Aviator,Sunglasses,Women,7672,5,15
SNGL338,DKNY,Aviator,Sunglasses,Women,10172,5,13
SNGL390,Homme,Aviator,Sunglasses,Women,9037,5,13
SNGL430,Christian Dior,Aviator,Sunglasses,Women,1099,5,15
SNGL432,Christian Dior,Aviator,Sunglasses,Women,6508,5,10
SNGL446,Christian Dior,Aviator,Sunglasses,Women,8843,5,13
SNGL470,Chopard,Aviator,Sunglasses,Women,7684,5,13
SNGL499,Emporio Armani,Aviator,Sunglasses,Women,6941,5,10
SNGL524,Dunhill,Aviator,Sunglasses,Women,5293,5,13
SNGL529,DieselDior,Aviator,Sunglasses,Women,9073,5,15
SNGL615,Ray-Ban Junior,Aviator,Sunglasses,Women,3963,5,11
SNGL627,Ray-Ban,Aviator,Sunglasses,Women,6102,5,13
SNGL629,Chloe,Aviator,Sunglasses,Women,3239,5,11
SNGL650,Dragon Alliance,Aviator,Sunglasses,Women,1815,5,11
SNGL654,Dolce & Gabbana,Aviator,Sunglasses,Women,9125,5,10
SNGL670,Dragon Alliance,Aviator,Sunglasses,Women,10837,5,12
SNGL676,Celine,Aviator,Sunglasses,Women,8988,5,13
SNGL685,Little Marc Jacobs,Aviator,Sunglasses,Women,8978,5,10
SNGL690,Lanvin Paris,Aviator,Sunglasses,Women,6415,5,10
SNGL692,Lanvin Paris,Aviator,Sunglasses,Women,8500,5,12
SNGL701,DieselDior,Aviator,Sunglasses,Women,4371,5,12
SNGL724,Lanvin Paris,Aviator,Sunglasses,Women,7036,5,11
SNGL771,Celine,Aviator,Sunglasses,Women,3891,5,10
SNGL879,Christian Dior,Aviator,Sunglasses,Women,8754,5,10
SNGL885,Chloe,Aviator,Sunglasses,Women,8425,5,11
SNGL900,DieselDior,Aviator,Sunglasses,Women,6195,5,10
SNGL906,Chloe,Aviator,Sunglasses,Women,10652,5,11
SNGL989,Homme,Aviator,Sunglasses,Women,3082,5,13
SNGL1053,London Retro,Aviator,Sunglasses,Women,8794,5,13
SNGL1117,Emporio Armani,Aviator,Sunglasses,Women,3156,5,10
SNGL1128,Dragon Alliance,Aviator,Sunglasses,Women,10026,5,11
SNGL1153,London Retro,Aviator,Sunglasses,Women,3875,5,11
SNGL1159,Christian Dior,Aviator,Sunglasses,Women,1949,5,11
SNGL1172,Chloe,Aviator,Sunglasses,Women,4089,5,14
SNGL1185,DKNY,Aviator,Sunglasses,Women,3323,5,10
SNGL1216,Little Marc Jacobs,Aviator,Sunglasses,Women,5097,5,15
SNGL1229,Christian Dior,Aviator,Sunglasses,Women,10356,5,12
SNGL1247,Emporio Armani,Aviator,Sunglasses,Women,4846,5,11
SNGL1257,Little Marc Jacobs,Aviator,Sunglasses,Women,3291,5,14
SNGL1265,DieselDior,Aviator,Sunglasses,Women,5143,5,11
SNGL1274,Ray-Ban Junior,Aviator,Sunglasses,Women,7277,5,11
SNGL1296,Chopard,Aviator,Sunglasses,Women,3444,5,15
SNGL1297,Ray-Ban,Aviator,Sunglasses,Women,6948,5,15
SNGL1328,Ray-Ban Junior,Aviator,Sunglasses,Women,7646,5,15
SNGL1337,Homme,Aviator,Sunglasses,Women,10940,5,11
SNGL1342,DieselDior,Aviator,Sunglasses,Women,3796,5,12
SNGL1392,London Retro,Aviator,Sunglasses,Women,5271,5,15
SNGL1400,DieselDior,Aviator,Sunglasses,Women,5599,5,15
SNGL1410,Dunhill,Aviator,Sunglasses,Women,6070,5,10
SNGL1420,Little Marc Jacobs,Aviator,Sunglasses,Women,1637,5,10
SNGL1423,DieselDior,Aviator,Sunglasses,Women,5683,5,12
SNGL1502,Lanvin Paris,Aviator,Sunglasses,Women,2025,5,0
SNGL1504,Homme,Aviator,Sunglasses,Women,6465,5,0
SNGL1515,Little Marc Jacobs,Aviator,Sunglasses,Women,9876,5,0
SNGL1516,Lanvin Paris,Aviator,Sunglasses,Women,2451,5,0
SNGL1527,Dolce & Gabbana,Aviator,Sunglasses,Women,4602,5,0
