PID,Brand,Name,Category,Subcategory,Price,min_stock,current_stock
CLTH0,Clarks,T-shirts,Clothes,Kids,8664,10,25
CLTH1,Dimplex,Sweatshirts,Clothes,Men,5060,10,21
CLTH2,Dinotrux,Jackets,Clothes,Women,7630,10,17
WTCH0,Kronaby,traveller,Watches,Leather-strap,3790,3,5
WTCH1,Junkers,multi-dial,Watches,Metal-strap,7957,3,6
WTCH2,Junkers,multi-dial,Watches,Canvas-strap,1483,3,7
WTCH3,Casio,casual,Watches,Metal-strap,8593,3,8
WTCH4,Kurio,casual,Watches,Synthetic-strap,8668,3,6
FRNT0,Akai,Billiard-table,Furniture,-,4830,1,5
FRNT1,Accessorize,Stool,Furniture,-,6515,1,3
FRNT2,Dreamland,fainting-couch,Furniture,-,3829,1,2
FRNT3,ArtesaDaewoo,dining-setss,Furniture,-,6864,1,3
FRNT4,Dreamland,Bench,Furniture,-,8195,1,3
FRNT5,Denby,Bookcase,Furniture,-,4504,1,2
FRNT6,Analon,fainting-couch,Furniture,-,1226,1,2
FRNT7,Disney,Chair,Furniture,-,2516,1,5
FRNT8,Analon,Bed,Furniture,-,3753,1,2
FRNT9,Akai,Stool,Furniture,-,7344,1,2
FRNT10,Dimplex,Couch,Furniture,-,10021,1,2
FRNT11,Denby,Bed,Furniture,-,3364,1,4
FRNT12,ArtesaDaewoo,Rack,Furniture,-,2894,1,2
FRNT13,DD,Daybed,Furniture,-,7256,1,2
FRNT14,Accessorize,Mattress,Furniture,-,5646,1,3
FRNT15,Analon,Safe,Furniture,-,10216,1,3
FRNT16,Dimplex,Divan,Furniture,-,2636,1,5
FRNT17,Appletree,Sofa-bed,Furniture,-,1453,1,5
FRNT18,Dimplex,fainting-couch,Furniture,-,9241,1,3
FRNT19,DD,Daybed,Furniture,-,5828,1,2
FRNT20,Analon,BeanBag,Furniture,-,10643,1,2
FRNT21,Dualit,Safe,Furniture,-,7042,1,2
FRNT22,Dibor,Sofa-bed,Furniture,-,6024,1,2
FRNT23,DD,Billiard-table,Furniture,-,10236,1,5
FRNT24,Denby,fainting-couch,Furniture,-,10971,1,5
FRNT25,Akai,Sofa-bed,Furniture,-,8117,1,4
FRNT26,Dibor,Mattress,Furniture,-,8499,1,4
FRNT27,Dibor,Chair,Furniture,-,8019,1,3
FRNT28,Denby,Divan,Furniture,-,9476,1,4
FRNT29,Dimplex,Bookcase,Furniture,-,8450,1,3
FRNT30,Dreamland,Rack,Furniture,-,10642,1,4
FRNT31,Dualit,Mattress,Furniture,-,3423,1,5
FRNT32,Appletree,Safe,Furniture,-,3180,1,4
FRNT33,Disney,fainting-couch,Furniture,-,6830,1,2
FRNT34,ArtesaDaewoo,Bed,Furniture,-,1909,1,4
FRNT35,DD,Divan,Furniture,-,5626,1,3
FRNT36,Dimplex,Television-set,Furniture,-,6740,1,4
FRNT37,Dimplex,Sofa-bed,Furniture,-,10664,1,3
FRNT38,Akai,Divan,Furniture,-,5076,1,5
FRNT39,Appletree,Divan,Furniture,-,9787,1,4
FRNT40,Dualit,Divan,Furniture,-,8698,1,2
FRNT41,Analon,Stool,Furniture,-,5545,1,3
FRNT42,Analon,Daybed,Furniture,-,8082,1,5
FRNT43,Dimplex,Chess-table,Furniture,-,1433,1,2
FRNT44,Dibor,Sofa-bed,Furniture,-,3963,1,3
FRNT45,Analon,dining-sets,Furniture,-,1581,1,5
FRNT46,DKNY,Table,Furniture,-,6896,1,5
FRNT47,Disney,Television-set,Furniture,-,9971,1,5
FRNT48,Accessorize,Bench,Furniture,-,6824,1,3
FRNT49,Akai,Chess-table,Furniture,-,5806,1,5
FRNT50,Dimplex,fainting-couch,Furniture,-,6193,1,3
FRNT51,Dreamland,Bed,Furniture,-,10959,1,2
FRNT52,Dibor,Bench,Furniture,-,9746,1,5
FRNT53,Dreamland,Daybed,Furniture,-,3034,1,5
FRNT54,Dreamland,Chess-table,Furniture,-,1401,1,2
FRNT55,DD,Table,Furniture,-,4048,1,5
FRNT56,Analon,Table,Furniture,-,8994,1,2
FRNT57,ArtesaDaewoo,Table,Furniture,-,3658,1,3
FRNT58,Accessorize,Safe,Furniture,-,4826,1,3
FRNT59,Denby,Safe,Furniture,-,3474,1,5
FRNT60,Dreamland,Bench,Furniture,-,5218,1,3
FRNT61,Dibor,Chess-table,Furniture,-,7971,1,2
FRNT62,DD,Table,Furniture,-,1072,1,2
FRNT63,Analon,Couch,Furniture,-,1920,1,2
FRNT64,Analon,Daybed,Furniture,-,1063,1,5
FRNT65,Dualit,Safe,Furniture,-,9672,1,2
FRNT66,Dualit,Chair,Furniture,-,8563,1,2
FRNT67,ArtesaDaewoo,BeanBag,Furniture,-,6451,1,2
FRNT68,Accessorize,Bookcase,Furniture,-,8530,1,2
FRNT69,DD,Sofa-bed,Furniture,-,5973,1,3
FRNT70,Denby,Sofa-bed,Furniture,-,9103,1,3
FRNT71,DKNY,Chess-table,Furniture,-,8516,1,3
FRNT72,Dimplex,Safe,Furniture,-,8930,1,2
FRNT73,Dreamland,dining-sets,Furniture,-,3981,1,3
FRNT74,Accessorize,Mattress,Furniture,-,5857,1,2
FRNT75,Dibor,Rack,Furniture,-,5164,1,3
FRNT76,Dualit,Television-set,Furniture,-,6341,1,2
FRNT77,Dibor,Chair,Furniture,-,2030,1,2
FRNT78,DKNY,Bench,Furniture,-,4129,1,4
FRNT79,DKNY,Table,Furniture,-,6316,1,3
FRNT80,Dreamland,Billiard-table,Furniture,-,4127,1,4
FRNT81,Disney,Chess-table,Furniture,-,1086,1,2
FRNT82,Accessorize,dining-sets,Furniture,-,10448,1,5
FRNT83,Dreamland,Sofa-bed,Furniture,-,5562,1,3
FRNT84,Dibor,BeanBag,Furniture,-,1135,1,2
FRNT85,Akai,Rack,Furniture,-,3473,1,3
FRNT86,Dreamland,Sofa-bed,Furniture,-,2918,1,5
FRNT87,Accessorize,Divan,Furniture,-,6721,1,2
FRNT88,Dreamland,dining-sets,Furniture,-,9432,1,5
FRNT89,Dimplex,Billiard-table,Furniture,-,4043,1,2
FRNT90,Denby,Chair,Furniture,-,5774,1,4
FRNT91,Disney,Chair,Furniture,-,4843,1,4
FRNT92,Dimplex,Billiard-table,Furniture,-,6831,1,2
FRNT93,ArtesaDaewoo,Rack,Furniture,-,6145,1,5
FRNT94,Accessorize,Television-set,Furniture,-,2341,1,3
FRNT95,Disney,Billiard-table,Furniture,-,4289,1,4
FRNT96,Appletree,Stool,Furniture,-,7897,1,5
FRNT97,Dreamland,Television-set,Furniture,-,9974,1,3
FRNT98,Dualit,Sofa-bed,Furniture,-,10987,1,3
FRNT99,Dimplex,Chess-table,Furniture,-,1117,1,2
FTWR0,Invicta,Floaters,Footwear,Men,5432,10,16
FTWR1,Airness,Flip-Flops,Footwear,Women,4810,10,16
FTWR2,Adidas,Floaters,Footwear,Men,2844,10,15
FTWR3,Ariat,Flip-Flops,Footwear,Men,4564,10,17
FTWR4,Circa,sports-shoes,Footwear,Kids,1119,10,13
FTWR5,Chaco,Floaters,Footwear,Men,3558,10,13
FTWR6,Churchs,Flip-Flops,Footwear,Women,5518,10,18
FTWR7,Atletica,Sandals,Footwear,Women,5475,10,18
FTWR8,ChenOne,Formal-shoes,Footwear,Women,3816,10,19
FTWR9,Skechers,Formal-shoes,Footwear,Men,1297,10,12
FTWR10,Churchs,casual-shoes,Footwear,Women,2304,10,15
FTWR11,ChenOne,casual-shoes,Footwear,Women,4235,10,14
FTWR12,Airness,casual-shoes,Footwear,Men,5401,10,17
FTWR13,Churchs,Floaters,Footwear,Women,4998,10,11
FTWR14,Ariat,Floaters,Footwear,Men,1621,10,16
FTWR15,Ariat,Floaters,Footwear,Kids,4908,10,16
FTWR16,Skechers,Formal-shoes,Footwear,Men,4489,10,18
FTWR17,Invicta,sports-shoes,Footwear,Women,5236,10,12
FTWR18,Invicta,Socks,Footwear,Women,5195,10,12
FTWR19,Atletica,boots,Footwear,Kids,2149,10,20
FTWR20,Circa,boots,Footwear,Kids,6906,10,19
FTWR21,Adidas,sports-shoes,Footwear,Kids,4128,10,13
FTWR22,Churchs,Sandals,Footwear,Kids,1647,10,20
FTWR23,Insolia,boots,Footwear,Kids,4638,10,17
FTWR24,Insolia,Flip-Flops,Footwear,Men,3566,10,14
FTWR25,Chaco,Sandals,Footwear,Women,1036,10,15
FTWR26,Churchs,Flip-Flops,Footwear,Kids,2089,10,11
FTWR27,Chaco,boots,Footwear,Women,2667,10,16
FTWR28,Airness,casual-shoes,Footwear,Men,4652,10,20
FTWR29,Chaco,Flip-Flops,Footwear,Kids,5459,10,19
FTWR30,Churchs,Floaters,Footwear,Kids,1283,10,15
FTWR31,Crocs,sports-shoes,Footwear,Women,5341,10,15
FTWR32,Crocs,Sandals,Footwear,Women,5689,10,15
FTWR33,Chaco,Formal-shoes,Footwear,Women,5409,10,14
FTWR34,Adidas,Formal-shoes,Footwear,Women,4030,10,19
FTWR35,ChenOne,Flip-Flops,Footwear,Kids,6325,10,11
FTWR36,Airness,Socks,Footwear,Kids,3131,10,20
FTWR37,Chaco,casual-shoes,Footwear,Men,2725,10,17
FTWR38,ASICS,Formal-shoes,Footwear,Women,5149,10,13
FTWR39,Ariat,casual-shoes,Footwear,Women,1207,10,14
FTWR40,ASICS,boots,Footwear,Kids,1990,10,14
FTWR41,ChenOne,sports-shoes,Footwear,Kids,3930,10,20
FTWR42,Adidas,casual-shoes,Footwear,Women,3040,10,15
FTWR43,Circa,Flip-Flops,Footwear,Kids,4648,10,12
FTWR44,Chaco,Formal-shoes,Footwear,Women,3453,10,14
FTWR45,ASICS,Formal-shoes,Footwear,Men,1009,10,17
FTWR46,Adidas,Formal-shoes,Footwear,Women,3557,10,15
FTWR47,ASICS,boots,Footwear,Women,4766,10,16
FTWR48,Chaco,casual-shoes,Footwear,Women,6934,10,17
FTWR49,ASICS,Floaters,Footwear,Kids,2344,10,20
FTWR50,Circa,boots,Footwear,Men,5516,10,12
FTWR51,Chaco,Floaters,Footwear,Kids,6709,10,11
FTWR52,Circa,casual-shoes,Footwear,Women,6019,10,19
FTWR53,Adidas,sports-shoes,Footwear,Men,2153,10,16
FTWR54,Skechers,Sandals,Footwear,Women,3206,10,16
FTWR55,Adidas,Sandals,Footwear,Women,6813,10,13
FTWR56,Ariat,Formal-shoes,Footwear,Men,6461,10,20
FTWR57,Crocs,Formal-shoes,Footwear,Men,4066,10,14
FTWR58,ChenOne,Socks,Footwear,Women,3184,10,15
FTWR59,Circa,casual-shoes,Footwear,Men,5763,10,20
FTWR60,Crocs,Socks,Footwear,Kids,3569,10,20
FTWR61,Skechers,Sandals,Footwear,Women,3031,10,16
FTWR62,ASICS,casual-shoes,Footwear,Kids,4473,10,13
FTWR63,Adidas,Floaters,Footwear,Kids,2914,10,12
FTWR64,Ariat,casual-shoes,Footwear,Kids,2214,10,15
FTWR65,Atletica,sports-shoes,Footwear,Men,4144,10,15
FTWR66,ASICS,Socks,Footwear,Kids,1290,10,19
FTWR67,Circa,boots,Footwear,Women,3947,10,12
FTWR68,Skechers,Formal-shoes,Footwear,Kids,3191,10,13
FTWR69,Invicta,Floaters,Footwear,Women,2365,10,19
FTWR70,ASICS,boots,Footwear,Kids,5933,10,20
FTWR71,Xtep,Formal-shoes,Footwear,Kids,4465,10,19
FTWR72,Xtep,boots,Footwear,Kids,4135,10,18
FTWR73,Invicta,Floaters,Footwear,Men,6581,10,18
FTWR74,ASICS,Formal-shoes,Footwear,Women,4003,10,13
FTWR75,ChenOne,casual-shoes,Footwear,Women,4136,10,19
FTWR76,Airness,Formal-shoes,Footwear,Men,3835,10,11
FTWR77,Ariat,sports-shoes,Footwear,Kids,4717,10,19
FTWR78,Ariat,Formal-shoes,Footwear,Men,3473,10,13
FTWR79,Adidas,casual-shoes,Footwear,Men,6335,10,17
FTWR80,Xtep,Sandals,Footwear,Men,5812,10,14
FTWR81,Circa,sports-shoes,Footwear,Women,4692,10,16
FTWR82,Chaco,Sandals,Footwear,Women,4226,10,13
FTWR83,Chaco,Flip-Flops,Footwear,Men,3184,10,13
FTWR84,Crocs,Socks,Footwear,Men,2380,10,19
FTWR85,Airness,Sandals,Footwear,Men,3891,10,15
FTWR86,Invicta,Socks,Footwear,Women,5381,10,15
FTWR87,Airness,Sandals,Footwear,Women,3683,10,12
FTWR88,Ariat,boots,Footwear,Men,4999,10,19
FTWR89,Crocs,Sandals,Footwear,Kids,5397,10,12
FTWR90,Insolia,sports-shoes,Footwear,Kids,3379,10,15
FTWR91,Adidas,Socks,Footwear,Kids,1814,10,12
FTWR92,Ariat,sports-shoes,Footwear,Women,1822,10,20
FTWR93,ASICS,casual-shoes,Footwear,Kids,2024,10,15
FTWR94,Airness,Sandals,Footwear,Kids,5392,10,16
FTWR95,Ariat,Socks,Footwear,Women,2579,10,11
FTWR96,ASICS,Formal-shoes,Footwear,Men,2887,10,15
FTWR97,Atletica,Flip-Flops,Footwear,Women,1978,10,13
FTWR98,Airness,Floaters,Footwear,Women,3160,10,17
FTWR99,ASICS,Formal-shoes,Footwear,Kids,3979,10,20
FTWR100,Atletica,sports-shoes,Footwear,Men,3445,10,16
FTWR101,Chaco,casual-shoes,Footwear,Women,5756,10,16
FTWR102,Adidas,Socks,Footwear,Kids,2156,10,14
FTWR103,Insolia,sports-shoes,Footwear,Men,6498,10,18
FTWR104,ChenOne,boots,Footwear,Kids,4443,10,15
FTWR105,ASICS,Formal-shoes,Footwear,Kids,1680,10,19
FTWR106,Skechers,Socks,Footwear,Men,1156,10,14
FTWR107,Ariat,sports-shoes,Footwear,Men,2535,10,12
FTWR108,Adidas,Socks,Footwear,Women,6143,10,19
FTWR109,ASICS,casual-shoes,Footwear,Men,2794,10,12
FTWR110,Adidas,Formal-shoes,Footwear,Kids,6344,10,17
FTWR111,ASICS,casual-shoes,Footwear,Men,4480,10,14
FTWR112,Skechers,Flip-Flops,Footwear,Kids,3243,10,20
FTWR113,Airness,Floaters,Footwear,Women,1445,10,14
FTWR114,ASICS,boots,Footwear,Kids,6892,10,17
FTWR115,Adidas,boots,Footwear,Women,2466,10,15
FTWR116,Xtep,Formal-shoes,Footwear,Men,5566,10,15
FTWR117,Insolia,sports-shoes,Footwear,Kids,1751,10,16
FTWR118,Atletica,casual-shoes,Footwear,Kids,1368,10,19
FTWR119,ASICS,Flip-Flops,Footwear,Kids,3564,10,17
FTWR120,ChenOne,Floaters,Footwear,Men,3880,10,18
FTWR121,Chaco,casual-shoes,Footwear,Women,5023,10,11
FTWR122,Crocs,Sandals,Footwear,Men,1019,10,17
FTWR123,Chaco,Sandals,Footwear,Women,5345,10,16
FTWR124,Insolia,casual-shoes,Footwear,Kids,4860,10,11
FTWR125,ChenOne,Formal-shoes,Footwear,Men,3491,10,12
FTWR126,Skechers,Formal-shoes,Footwear,Women,3215,10,14
FTWR127,Skechers,casual-shoes,Footwear,Men,1856,10,13
FTWR128,Atletica,sports-shoes,Footwear,Women,6914,10,20
FTWR129,ASICS,Sandals,Footwear,Men,5177,10,19
FTWR130,Atletica,Formal-shoes,Footwear,Men,5578,10,13
FTWR131,Ariat,casual-shoes,Footwear,Women,1170,10,17
FTWR132,Skechers,Sandals,Footwear,Women,1463,10,20
FTWR133,Invicta,casual-shoes,Footwear,Women,2183,10,17
FTWR134,Chaco,Formal-shoes,Footwear,Women,6832,10,18
FTWR135,Insolia,Floaters,Footwear,Kids,6150,10,13
FTWR136,Skechers,Socks,Footwear,Kids,3614,10,15
FTWR137,Airness,Sandals,Footwear,Men,4510,10,14
FTWR138,Circa,Flip-Flops,Footwear,Kids,2904,10,16
FTWR139,Chaco,Sandals,Footwear,Kids,3539,10,15
FTWR140,Insolia,Sandals,Footwear,Kids,2502,10,16
FTWR141,Xtep,Flip-Flops,Footwear,Men,1165,10,14
FTWR142,Churchs,boots,Footwear,Men,1657,10,20
FTWR143,Chaco,Sandals,Footwear,Kids,4734,10,12
FTWR144,Xtep,Floaters,Footwear,Men,1436,10,13
FTWR145,Xtep,Flip-Flops,Footwear,Men,1867,10,16
FTWR146,Insolia,casual-shoes,Footwear,Kids,3222,10,16
FTWR147,Skechers,boots,Footwear,Kids,3292,10,11
